#GENE	HGNC ID	INHERITANCE	AGE GROUP
AMT	473	AR	Pediatric
AMTN	33188	AD	N/A
ANAPC1	19988	AR	Pediatric
ANAPC7	17380	AR	Pediatric
ANG	483	AD	N/A
ANGPT1	484	AD	Pediatric
ANGPT2	485	AD	Pediatric
ANGPTL3	491	AR	N/A
ANK1	492	AD/AR	Pediatric
ANK2	493	AD	Pediatric
ANK3	494	AR	N/A
ANKH	15492	AD	N/A
ANKLE2	29101	AR	N/A
ANKRD11	21316	AD	N/A
ANKRD17	23575	AD	Pediatric
ANKRD26	29186	AD	Pediatric
ANKS6	26724	AR	Pediatric
ANLN	14082	AD	Pediatric
ANO10	25519	AR	N/A
ANO3	14004	AD	N/A
ANO5	27337	AD	Pediatric
ANO6	25240	AR	Pediatric
ANOS1	6211	XL/Digenic	Pediatric
ANTXR1	21014	AD/AR	N/A
ANTXR2	21732	AR	Pediatric
ANXA11	535	AD	N/A
AOPEP	1361	AR	N/A
AP1B1	554	AR	N/A
AP1G1	555	AD/AR	N/A
AP1S1	559	AR	Pediatric
AP1S2	560	XL	N/A
AP1S3	18971	AD	N/A
AP2M1	564	AD	N/A
AP2S1	565	AD	Pediatric
AP3B1	566	AR	Pediatric
AP3B2	567	AR	N/A
AP3D1	568	AR	Pediatric
AP4B1	572	AR	N/A
AP4E1	573	AD/AR	N/A
AP4M1	574	AR	N/A
AP4S1	575	AR	N/A
AP5Z1	22197	AR	N/A
APC	583	AD	Pediatric
APC2	24036	AR	N/A
APCDD1	15718	AD	N/A
APOA1	600	AD/AR	Pediatric
APOA2	601	AR	N/A
APOA5	17288	AD/AR	Pediatric
APOB	603	AD/AR	Pediatric
APOC2	609	AR	Pediatric
APOC3	610	AD	N/A
APOE	613	AD/AR	Pediatric
APP	620	AD	N/A
APPL1	24035	AD	N/A
APRT	626	AR	Pediatric
APTX	15984	AR	N/A
AQP1	633	BG	Pediatric
AQP2	634	AD/AR	Pediatric
AQP3	636	BG	Pediatric
AR	644	XL	Pediatric
ARCN1	649	AD	N/A
ARF1	652	AD	N/A
ARFGEF2	15853	AR	N/A
ARG1	663	AR	Pediatric
ARHGAP31	29216	AD	N/A
ARHGDIA	678	AR	N/A
ARHGEF1	681	AR	Pediatric
ARHGEF10	14103	AD	N/A
ARHGEF18	17090	AR	N/A
ARHGEF2	682	AR	N/A
ARHGEF6	685	XL	N/A
ARHGEF9	14561	XL	N/A
ARID1A	11110	AD	N/A
ARID1B	18040	AD	N/A
ARID2	18037	AD	N/A
ARL13B	25419	AR	N/A
ARL2	693	AD	N/A
ARL2BP	17146	AR	N/A
ARL3	694	AR	N/A
ARL6	13210	AR	Pediatric
ARL6IP1	697	AR	N/A
ARMC2	23045	AR	N/A
ARMC5	25781	AD	Adult
ARMC9	20730	AR	Pediatric
ARNT2	16876	AR	Pediatric
ARPC1B	704	AR	Pediatric
ARR3	710	XL	N/A
ARSA	713	AR	N/A
ARSB	714	AR	Pediatric
ARSG	24102	AR	N/A
ARSK	25239	AR	Pediatric
ARSL	719	XL	N/A
ART4	726	BG	Pediatric
ARV1	29561	AR	N/A
ARX	18060	XL	N/A
ASAH1	735	AR	N/A
ASB10	17185	AD	Adult
ASCC1	24268	AD	Adult
ASCL1	738	AD	Pediatric
ASH1L	19088	AD	N/A
ASIP	745	AD	N/A
ASL	746	AR	Pediatric
ASNS	753	AR	Pediatric
ASPA	756	AR	N/A
ASPH	757	AR	Pediatric
ASPM	19048	AR	N/A
ASPRV1	26321	AD	N/A
ASS1	758	AR	Pediatric
ASTL	31704	AR	N/A
ASXL1	18318	AD	N/A
ASXL2	23805	AD	Pediatric
ASXL3	29357	AD	N/A
ATAD1	25903	AR	Pediatric
ATAD3A	25567	AD/AR	N/A
ATCAY	779	AR	N/A
ATF6	791	AR	N/A
ATG7	16935	AR	N/A
ATIC	794	AR	N/A
ATL1	11231	AD	N/A
ATL3	24526	AD	N/A
ATM	795	AD/AR	Pediatric (Ataxia-Telangiectasia); Adult (Breast cancer, susceptibility to)
ATN1	3033	AD	Pediatric
ATOH7	13907	AR	N/A
ATP11C	13554	XL	N/A
ATP13A2	30213	AR	Pediatric
ATP1A1	799	AD	Pediatric
ATP1A2	800	AD	Pediatric
ATP1A3	801	AD	Pediatric
ATP2A1	811	AR	Pediatric
ATP2A2	812	AD	N/A
ATP2B3	816	XL	N/A
ATP2C1	13211	AD	N/A
ATP5F1A	823	AR	N/A
ATP5F1E	838	AR	N/A
ATP5MC3	843	AD	Pediatric
ATP5MK	30889	AR	N/A
ATP6AP1	868	XL	Pediatric
ATP6AP2	18305	XL	Pediatric
ATP6V0A2	18481	AR	N/A
ATP6V0A4	866	AR	Pediatric
ATP6V1A	851	AR	Pediatric
ATP6V1B1	853	AR	Pediatric
ATP6V1B2	854	AD	Pediatric
ATP6V1E1	857	AR	Pediatric
ATP7A	869	XL	Pediatric
ATP7B	870	AR	Pediatric
ATP8A2	13533	AR	N/A
ATP8B1	3706	AD/AR	Pediatric
ATPAF2	18802	AR	N/A
ATR	882	AD/AR	Pediatric
ATRX	886	XL	N/A
ATXN1	10548	AD	N/A
ATXN10	10549	AD	N/A
ATXN2	10555	AD	N/A
ATXN3	7106	AD	N/A
ATXN7	10560	AD	N/A
ATXN8	32925	AD	N/A
ATXN8OS	10561	AD	N/A
AUH	890	AR	N/A
AURKC	11391	AR	N/A
AUTS2	14262	AD	N/A
AVIL	14188	AR	N/A
AVP	894	AD/AR	Pediatric
AVPR2	897	XL	Pediatric
AXIN1	903	AD/Methylation	N/A
AXIN2	904	AD	Adult
B2M	914	AD/AR	Pediatric
B3GALNT1	918	BG	Pediatric
B3GALNT2	28596	AR	N/A
B3GALT6	17978	AR	N/A
B3GAT3	923	AR	Pediatric
B3GLCT	20207	AR	Pediatric
B4GALNT1	4117	AR	N/A
B4GALNT2	24136	BG	Pediatric
B4GALT1	924	AR	Pediatric
B4GALT7	930	AR	N/A
B4GAT1	15685	AR	N/A
B9D1	24123	AR	N/A
B9D2	28636	AR	N/A
BAAT	932	AR	Pediatric
BACH2	14078	AD	Pediatric
BAG3	939	AD	Adult
BANF1	17397	AR	N/A
BAP1	950	AD	Pediatric
BARD1	952	AD	Adult
BBIP1	28093	AR	N/A
BBS1	966	AR 	Pediatric
BBS10	26291	AR 	Pediatric
BBS12	26648	AR 	Pediatric
BBS2	967	AR 	N/A
BBS4	969	AR 	Pediatric
BBS5	970	AR 	Pediatric
BBS7	18758	AR 	Pediatric
BBS9	30000	AR	Pediatric
BCAM	6722	BG	Pediatric
BCAP31	16695	XL	N/A
BCAS3	14347	AR	N/A
BCAT2	977	AR	Pediatric
BCHE	983	AR	Pediatric
BCKDHA	986	AR	Pediatric
BCKDHB	987	AR	Pediatric
BCKDK	16902	AR	Pediatric
BCL10	989	AR	Pediatric
BCL11A	13221	AD	N/A
BCL11B	13222	AD	Pediatric
BCO1	13815	AD	Pediatric
BCOR	20893	XL	Pediatric
BCORL1	25657	XL	N/A
BCR	1014	AD	Pediatric
BCS1L	1020	AR	Pediatric
BDNF	1033	AD	Pediatric
BDP1	13652	AR	N/A
BEAN1	24160	AD	N/A
BEST1	12703	AD	Adult
BFSP1	1040	AR	N/A
BFSP2	1041	AD/AR	N/A
BGN	1044	XL	Pediatric
BHLHA9	35126	AR	N/A
BHLHE41	16617	AD	N/A
BICC1	19351	AD	Pediatric
BICD2	17208	AD	N/A
BIN1	1052	AR	N/A
BLK	1057	AD	N/A
BLM	1058	AR	Pediatric
BLNK	14211	AR	Pediatric
BLOC1S3	20914	AR	Pediatric
BLOC1S5	18561	AR	Pediatric
BLOC1S6	8549	AR	Pediatric
BLVRA	1062	AD/AR	N/A
BMP1	1067	AR	N/A
BMP15	1068	XL	Pediatric
BMP2	1069	AD	Pediatric
BMP4	1071	AD	N/A
BMPER	24154	AR	N/A
BMPR1A	1076	AD	Pediatric
BMPR1B	1077	AD/AR	N/A
BMPR2	1078	AD	Pediatric
BMS1	23505	AD	N/A
BNC1	1081	AD	Pediatric
BNC2	30988	AD	Pediatric
BOLA3	24415	AR	N/A
BPGM	1093	AD/AR	Pediatric
BPNT2	26019	AR	N/A
BPTF	3581	AD	N/A
BRAF	1097	AD	Pediatric
BRAT1	21701	AR	N/A
BRCA1	1100	AD/AR	Pediatric (Fanconi anemia, complementation group S); Adult (Breast-ovarian cancer, familial, susceptibility to, 1; Pancreatic cancer, susceptibility to, 4)
BRCA2	1101	AD/AR	Pediatric (Fanconi anemia, complementation group D1); Adult (Breast-ovarian cancer, familial, susceptibility to; Pancreatic cancer, susceptibility to, 2; Glioma susceptibility 3; Wilms tumor; Medulloblastoma)
BRDT	1105	AR	N/A
BRF1	11551	AR	N/A
BRIP1	20473	AD/AR	Pediatric (Fanconi anemia, complementation group J); Adult (Breast cancer)
BRPF1	14255	AD	N/A
BRWD3	17342	XL	N/A
BSCL2	15832	AR	Pediatric
BSG	1116	BG	Pediatric
BSND	16512	AR	Pediatric
BTD	1122	AR	Pediatric
BTG4	13862	AR	N/A
BTK	1133	XL	Pediatric
BUB1B	1149	AD/AR	Pediatric
BVES	1152	AR	Pediatric
C11ORF80	26197	AR	Pediatric
C12ORF4	1184	AR	N/A
C12ORF57	29521	AR	N/A
C12ORF65	26784	AR	N/A
C14ORF39	19849	AR	N/A
C19ORF12	25443	AD/AR	N/A
C1QA	1241	AR	Pediatric
C1QB	1242	AR	Pediatric
C1QBP	1243	AR	Pediatric
C1QC	1245	AR	Pediatric
C1QTNF5	14344	AD	N/A
C1R	1246	AD	Pediatric
C1S	1247	AD/AR	Pediatric
C2	1248	AR	Pediatric
C2CD3	24564	AR	N/A
C2ORF69	26799	AR	N/A
C3	1318	AD/AR	Pediatric
C4A	1323	BG	Pediatric
C4B	1324	AR	N/A
C5	1331	AD/AR	Pediatric
C6	1339	AR	Pediatric
C7	1346	AR	Pediatric
C8A	1352	AR	Pediatric
C8B	1353	AR	Pediatric
C8ORF37	27232	AR	N/A
C9	1358	AR	Pediatric
C9ORF72	28337	AD	N/A
CA12	1371	AR	Pediatric
CA2	1373	AR	Pediatric
CA4	1375	AD	N/A
CA5A	1377	AR	Pediatric
CA8	1382	AR	N/A
CABP2	1385	AR	Pediatric
CABP4	1386	AR	N/A
CACNA1A	1388	AD	Pediatric
CACNA1B	1389	AD	Pediatric
CACNA1C	1390	AD	Pediatric
CACNA1D	1391	AD/AR	Pediatric
CACNA1E	1392	AD	Pediatric
CACNA1F	1393	XL	N/A
CACNA1G	1394	AD	N/A
CACNA1H	1395	AD	Pediatric
CACNA1S	1397	AD	Pediatric
CACNA2D2	1400	AR	N/A
CACNA2D4	20202	AR	N/A
CACNB2	1402	AD	Pediatric
CACNB4	1404	AD	Pediatric
CACNG2	1406	AD	N/A
CAD	1424	AR	Pediatric
CADM3	17601	AD	N/A
CALCRL	16709	AR	N/A
CALM1	1442	AD	Pediatric
CALM2	1445	AD	Pediatric
CALM3	1449	AD	N/A
CALR3	20407	AD	Pediatric
CAMK2A	1460	AD/AR	N/A
CAMK2B	1461	AD	N/A
CAMK2G	1463	AR	N/A
CAMTA1	18806	AD	N/A
CANT1	19721	AR	Pediatric
CAPN1	1476	AR	N/A
CAPN15	11182	AR	Pediatric
CAPN3	1480	AD/AR	N/A
CAPN5	1482	AD	N/A
CARD10	16422	AR	Pediatric
CARD11	16393	AD/AR	Pediatric
CARD14	16446	AD	N/A
CARD8	17057	AD	Pediatric
CARD9	16391	AR	Pediatric
CARMIL2	27089	AR	Pediatric
CARS1	1493	AR	N/A
CARS2	25695	AR	N/A
CASK	1497	XL	Pediatric
CASP10	1500	AD	Pediatric
CASP14	1502	AR	N/A
CASP8	1509	AR	Pediatric
CASQ1	1512	AD	N/A
CASQ2	1513	AR	Pediatric
CASR	1514	AD/AR	Pediatric
CAST	1515	AR	N/A
CAT	1516	AR	Pediatric
CATIP	25062	AR	N/A
CATSPER1	17116	AR	N/A
CAV1	1527	AD/AR	Pediatric
CAV3	1529	AD/Digenic	Pediatric
CAVIN1	9688	AR	N/A
CBL	1541	AD	Pediatric
CBLIF	4268	AR	Pediatric
CBS	1550	AR	Pediatric
CBX2	1552	AR	N/A
CC2D1A	30237	AR	N/A
CC2D2A	29253	AR	Pediatric
CCBE1	29426	AR	Pediatric
CCDC103	32700	AR	Pediatric
CCDC115	28178	AR	Pediatric
CCDC137	33451	AD	N/A
CCDC174	28033	AR	Pediatric
CCDC22	28909	XL	Pediatric
CCDC28B	28163	AD	N/A
CCDC32	28295	AR	Pediatric
CCDC39	25244	AR	Pediatric
CCDC40	26090	AR	Pediatric
CCDC47	24856	AR	Pediatric
CCDC50	18111	AD	N/A
CCDC65	29937	AR	Pediatric
CCDC78	14153	AD	N/A
CCDC8	25367	AR	N/A
CCDC88A	25523	AR	N/A
CCDC88C	19967	AD/AR	N/A
CCM2	21708	AD	Pediatric
CCN6	12771	AR	N/A
CCND2	1583	AD	N/A
CCNF	1591	AD	N/A
CCNK	1596	AD	N/A
CCNO	18576	AR	Pediatric
CCNQ	28434	XL	N/A
CCT5	1618	AR	N/A
CD151	1630	BG	Pediatric
CD164	1632	AD	Pediatric
CD19	1633	AR	Pediatric
CD207	17935	AD	N/A
CD247	1677	AR	Pediatric
CD27	11922	AR	Pediatric
CD2AP	14258	AR	Pediatric
CD320	16692	AR	Pediatric
CD36	1663	AR	Pediatric
CD3D	1673	AR	Pediatric
CD3E	1674	AR	Pediatric
CD3G	1675	AR	Pediatric
CD4	1678	AR	Pediatric
CD40	11919	AR	Pediatric
CD40LG	11935	XL	Pediatric
CD44	1681	BG	Pediatric
CD46	6953	AD/AR	Pediatric
CD55	2665	AR/BG	Pediatric
CD59	1689	AR	Pediatric
CD70	11937	AR	Pediatric
CD79A	1698	AR	Pediatric
CD79B	1699	AR	Pediatric
CD81	1701	AR	Pediatric
CD8A	1706	AR	Pediatric
CD96	16892	AD	N/A
CDAN1	1713	AR	Pediatric
CDC14A	1718	AR	Pediatric
CDC42	1736	AD	N/A
CDC45	1739	AR	N/A
CDC6	1744	AR	N/A
CDC73	16783	AD	Pediatric
CDCA7	14628	AR	Pediatric
CDH1	1748	AD	Adult
CDH11	1750	AD/AR	N/A
CDH15	1754	AD	N/A
CDH2	1759	AD	Pediatric
CDH23	13733	AD/AR/Digenic	Pediatric (Deafness, autosomal recessive 12; Usher syndrome, type 1D; Usher syndrome, type 1D /F digenic)/Adult (Pituitary adenoma, multiple types)
CDH3	1762	AR	N/A
CDHR1	14550	AR	N/A
CDIN1	26929	AR	Pediatric
CDK10	1770	AR	N/A
CDK13	1733	AD	N/A
CDK19	19338	AD	N/A
CDK4	1773	AD	Adult
CDK5	1774	AR	N/A
CDK5RAP2	18672	AR	Pediatric
CDK6	1777	AR	N/A
CDK8	1779	AD	Pediatric
CDKL5	11411	XL	N/A
CDKN1B	1785	AD	Pediatric
CDKN1C	1786	AD	Pediatric
CDKN2A	1787	AD	Pediatric
CDON	17104	AD	N/A
CDSN	1802	AD/AR	N/A
CDT1	24576	AR	N/A
CEACAM16	31948	AD/AR	N/A
CEBPA	1833	AD	Pediatric
CEBPE	1836	AR	Pediatric
CEL	1848	AD	Pediatric
CELA2A	24609	AD	Pediatric
CELF2	2550	AD	N/A
CELSR1	1850	AD	N/A
CENPE	1856	AR	N/A
CENPF	1857	AR	N/A
CENPJ	17272	AR	N/A
CENPT	25787	AR	N/A
CEP112	28514	AR	N/A
CEP120	26690	AR	N/A
CEP135	29086	AR	N/A
CEP152	29298	AR	N/A
CEP164	29182	AR	N/A
CEP19	28209	AR	N/A
CEP250	1859	AR	Pediatric
CEP290	29021	AR	N/A
CEP41	12370	AR/Digenic 	N/A
CEP55	1161	AR	N/A
CEP57	30794	AR	Pediatric
CEP63	25815	AR	N/A
CEP78	25740	AR	Pediatric
CEP83	17966	AR	N/A
CEP85L	21638	AD	N/A
CERKL	21699	AR	N/A
CERS1	14253	AR	N/A
CERS3	23752	AR	N/A
CERT1	2205	AD	N/A
CES1	1863	AD/AR	N/A
CETP	1869	AD/AR	N/A
CFAP251	28506	AR	N/A
CFAP298	1301	AR	Pediatric
CFAP300	28188	AR	Pediatric
CFAP410	1260	AR	N/A
CFAP43	26684	AR	N/A
CFAP44	25631	AR	N/A
CFAP45	17229	AR	Pediatric
CFAP47	26708	XL	N/A
CFAP52	16053	AR	Pediatric
CFAP53	26530	AR	Pediatric
CFAP57	26485	AD	N/A
CFAP58	26676	AR	N/A
CFAP65	25325	AR	N/A
CFAP69	26107	AR	N/A
CFAP70	30726	AR	N/A
CFAP91	24010	AR	N/A
CFB	1037	AD/AR	Pediatric
CFC1	18292	AD	Pediatric
CFD	2771	AR	Pediatric
CFH	4883	AD/AR	Pediatric
CFHR1	4888	AD/AR/Digenic	Pediatric
CFHR3	16980	AD/AR/Digenic	Pediatric
CFHR4	16979	AD/AR/Digenic	Pediatric
CFHR5	24668	AD	N/A
CFI	5394	AD/AR	Pediatric
CFL2	1875	AR	N/A
CFP	8864	XL	Pediatric
CFTR	1884	AR	Pediatric
CHAMP1	20311	AD	N/A
CHAT	1912	AR	Pediatric
CHCHD10	15559	AD	Pediatric
CHCHD2	21645	AD	Pediatric
CHD1	1915	AD	N/A
CHD2	1917	AD	N/A
CHD3	1918	AD	N/A
CHD4	1919	AD	Pediatric
CHD7	20626	AD	Pediatric
CHD8	20153	AD	N/A
CHEK2	16627	AD/AR	Adult
CHIT1	1936	AR	N/A
CHKB	1938	AR	Pediatric
CHM	1940	XL	N/A
CHMP1A	8740	AR	N/A
CHMP2B	24537	AD	N/A
CHMP4B	16171	AD	N/A
CHN1	1943	AD	N/A
CHP1	17433	AR	N/A
CHRDL1	29861	XL	Pediatric
CHRM3	1952	AR	N/A
CHRNA1	1955	AD/AR	Pediatric
CHRNA2	1956	AD	N/A
CHRNA3	1957	AR	Pediatric
CHRNA4	1958	AD	N/A
CHRNA7	1960	AD	N/A
CHRNB1	1961	AD/AR	Pediatric
CHRNB2	1962	AD	N/A
CHRND	1965	AD/AR	Pediatric
CHRNE	1966	AD/AR	Pediatric
CHRNG	1967	AR	N/A
CHST11	17422	AR	N/A
CHST14	24464	AR	Pediatric
CHST3	1971	AR	N/A
CHST6	6938	AR	N/A
CHST8	15993	AD	N/A
CHSY1	17198	AR	Pediatric
CHUK	1974	AR	N/A
CIB1	16920	AR	Pediatric
CIB2	24579	AR	Pediatric
CIBAR1	30452	AR	N/A
CIC	14214	AD	N/A
CIDEC	24229	AR	Pediatric
CIITA	7067	AR	Pediatric
CILK1	21219	AD/AR	N/A
CIROP	53647	AR	Pediatric
CISD2	24212	AR	Pediatric
CIT	1985	AR	N/A
CITED2	1987	AD	N/A
CIZ1	16744	AD	N/A
CKAP2L	26877	AR	N/A
CLAM	20394	AR	N/A
CLCC1	29675	AR	N/A
CLCF1	17412	AR	Pediatric
CLCN1	2019	AD/AR	Pediatric
CLCN2	2020	AD	Pediatric
CLCN3	2021	AD/AR	N/A
CLCN4	2022	XL	N/A
CLCN5	2023	XL	Pediatric
CLCN6	2024	AD	N/A
CLCN7	2025	AD/AR	Pediatric
CLCNKA	2026	AR/Digenic	Pediatric
CLCNKB	2027	AR/Digenic	Pediatric
CLDN1	2032	AR	N/A
CLDN10	2033	AR	Pediatric
CLDN11	8514	AR	N/A
CLDN14	2035	AR	Pediatric
CLDN16	2037	AR	Pediatric
CLDN19	2040	AR	Pediatric
CLDN2	2041	XL	N/A
CLDN9	2051	AR	N/A
CLEC7A	14558	AR	Pediatric
CLIC2	2063	XL	Adult
CLIC5	13517	AR	Pediatric
CLMP	24039	AR	Pediatric
CLN3	2074	AR	Pediatric
CLN5	2076	AR	N/A
CLN6	2077	AR	N/A
CLN8	2079	AR	N/A
CLP1	16999	AR	N/A
CLPB	30664	AR	Pediatric
CLPP	2084	AR	Pediatric
CLPX	2088	AD	N/A
CLRN1	12605	AR	N/A
CLRN2	33939	AR	Pediatric
CLTC	2092	AD	N/A
CNBP	13164	AD	Pediatric
CNGA1	2148	AR	N/A
CNGA3	2150	AR	N/A
CNGB1	2151	AR	N/A
CNGB3	2153	AR	N/A
CNKSR2	19701	XL	N/A
CNNM2	103	AR	Pediatric
CNNM4	105	AR	N/A
CNOT1	7877	AD	Pediatric
CNOT2	7878	AD	N/A
CNOT3	7879	AD	N/A
CNP	2158	AR	N/A
CNPY3	11968	AR	N/A
CNTN1	2171	AR	N/A
CNTN2	2172	AR	N/A
CNTNAP1	8011	AR	N/A
CNTNAP2	13830	AR	N/A
COA3	24990	AR	N/A
COA5	33848	AR	N/A
COA6	18025	AR	N/A
COA7	25716	AR	N/A
COA8	20492	AR	N/A
COASY	29932	AR	N/A
COCH	2180	AR	Pediatric
COG1	6545	AR	Pediatric
COG2	6546	AR	Pediatric
COG4	18620	AR	Pediatric
COG5	14857	AR	Pediatric
COG6	18621	AR	Pediatric
COG7	18622	AR	Pediatric
COG8	18623	AR	Pediatric
COL10A1	2185	AD	N/A
COL11A1	2186	AD/AR	Pediatric
